Protein IDs,Majority protein IDs,Protein names,Gene names,UPS2/1 ratio,
P0AGK4,P0AGK4,RNA-binding protein YhbY,yhbY,,
P0ADW3,P0ADW3,Putative cytochrome d ubiquinol oxidase subunit 3,yhcB,,
P45424,P45424,Uncharacterized protein YhcH,yhcH,,
P64612,P64612,Uncharacterized protein YhcM,yhcM,,
P64616,P64616,Uncharacterized protein yhcO,yhcO,,
P25536,P25536,Maf-like protein yhdE,yhdE,,
P26646,P26646,Putative quinone oxidoreductase YhdH,yhdH,,
P46474,P46474,Uncharacterized protein yhdP,yhdP,,
P64622,P64622,Uncharacterized protein yhdV,yhdV,,
P64624,P64624,Uncharacterized protein yheO,yheO,,
P63389,P63389,Uncharacterized ABC transporter ATP-binding protein YheS,yheS,,
P67624,P67624,UPF0270 protein YheU,yheU,,
P0ADW8,P0ADW8,Uncharacterized protein yheV,yheV,,
P0ADX1,P0ADX1,Protein yhfA,yhfA,,
P0ADX5,P0ADX5,Uncharacterized protein yhfG,yhfG,,
P45537,P45537,Uncharacterized protein yhfK,yhfK,,
P45552,P45552,Uncharacterized protein yhfZ,yhfZ,,
P46837,P46837,Protein yhgF,yhgF,,
P0ADX7,P0ADX7,Uncharacterized protein yhhA,yhhA,,
P37613,P37613,Uncharacterized protein yhhK,yhhK,,
P37615,P37615,Uncharacterized protein yhhM,yhhM,,
P46852,P46852,"Quercetin 2,3-dioxygenase",yhhW,,
P46853,P46853,Uncharacterized oxidoreductase YhhX,yhhX,,
P37624,P37624,Uncharacterized ABC transporter ATP-binding protein YhiH,yhiH,,
P37626,P37626,Uncharacterized protein yhiI,yhiI,,
P37631,P37631,Uncharacterized protein yhiN,yhiN,,
P37634,P37634,Uncharacterized protein yhiR,yhiR,,
P37642,P37642,Inner membrane protein yhjD,yhjD,,
P37645,P37645,Uncharacterized protein yhjG,yhjG,,
P37648,P37648,Protein yhjJ,yhjJ,,
P37649,P37649,Protein YhjK,yhjK,,
P37665,P37665,Inner membrane lipoprotein YiaD,yiaD,,
P0ADK0,P0ADK0,Uncharacterized protein yiaF,yiaF,,
P37671,P37671,HTH-type transcriptional regulator YiaJ,yiaJ,,
P0ADK6,P0ADK6,Protein yibA,yibA,,
P0ACA1,P0ACA1,Uncharacterized GST-like protein yibF,yibF,,
P0AFV0,P0AFV0,Inner membrane protein yibH,yibH,,
P0ADK8,P0ADK8,Uncharacterized protein yibL,yibL,,
P0AG27,P0AG27,Uncharacterized protein yibN,yibN,,
Q2M7R5,Q2M7R5,Uncharacterized protein yibT,yibT,,
P23839,P23839,UPF0701 protein yicC,yicC,,
P31433,P31433,Uncharacterized protein yicH,yicH,,
P31434,P31434,Alpha-xylosidase,yicI,,
Q2M7X4,Q2M7X4,Uncharacterized protein yicS,yicS,,
P0A8Y5,P0A8Y5,Sugar phosphatase YidA,yidA,,
P09996,P09996,Uncharacterized protein yidB,yidB,,
P25714,P25714,Membrane protein insertase YidC,yidC,,
P60872,P60872,Putative transport protein YidE,yidE,,
P0ADM4,P0ADM4,Uncharacterized protein yidQ,yidQ,,
P31455,P31455,Uncharacterized protein YidR,yidR,,
P0AGE6,P0AGE6,Uncharacterized protein yieF,yieF,,
P31475,P31475,Uncharacterized HTH-type transcriptional regulator YieP,yieP,,
P0ADN2,P0ADN2,UPF0438 protein yifE,yifE,,
P0ADN6,P0ADN6,Uncharacterized lipoprotein yifL,yifL,,
P23305,P23305,Uncharacterized protein yigA,yigA,,
P0ADP0,P0ADP0,Flavin mononucleotide phosphatase YigB,yigB,,
P0ADP2,P0ADP2,Uncharacterized protein yigI,yigI,,
P27848,P27848,Pyridoxal phosphate phosphatase YigL,yigL,,
P0ADP7,P0ADP7,Uncharacterized protein yigP,yigP,,
P27862,P27862,IMPACT family member yigZ,yigZ,,
P0ADP9,P0ADP9,Protein yihD,yihD,,
P0A8H6,P0A8H6,Der GTPase-activating protein YihI,yihI,,
P32134,P32134,Uncharacterized protein yihM,yihM,,
P32141,P32141,Uncharacterized aldolase yihT,yihT,,
P32144,P32144,Uncharacterized HTH-type transcriptional regulator YihW,yihW,,
P0A8Y3,P0A8Y3,Alpha-D-glucose-1-phosphate phosphatase YihX,yihX,,
P0ADQ2,P0ADQ2,Uncharacterized protein yiiD,yiiD,,
P32157,P32157,Protein yiiM,yiiM,,
P32160,P32160,Uncharacterized protein yiiQ,yiiQ,,
P32162,P32162,UPF0381 protein yiiS,yiiS,,
P32680,P32680,Uncharacterized protein yjaG,yjaG,,
P0AF43,P0AF43,Uncharacterized protein yjbB,yjbB,,
P32685,P32685,Uncharacterized protein yjbD,yjbD,,
P68206,P68206,UPF0337 protein yjbJ,yjbJ,,
P0AF48,P0AF48,UPF0047 protein yjbQ,yjbQ,,
P0AF50,P0AF50,Uncharacterized protein yjbR,yjbR,,
P32701,P32701,Uncharacterized membrane protein YjcC,yjcC,,
P32703,P32703,Uncharacterized Na(+)/H(+) exchanger yjcE,yjcE,,
P0AF54,P0AF54,Inner membrane protein yjcH,yjcH,,
P0ACU7,P0ACU7,HTH-type transcriptional regulator YjdC,yjdC,,
P0AF59,P0AF59,Uncharacterized protein yjdI,yjdI,,
P39274,P39274,Uncharacterized protein yjdJ,yjdJ,,
P0AF67,P0AF67,UPF0079 ATP-binding protein yjeE,yjeE,,
P0AF70,P0AF70,Uncharacterized protein yjeI,yjeI,,
P39280,P39280,Uncharacterized KamA family protein YjeK,yjeK,,
P39285,P39285,Uncharacterized MscS family protein YjeP,yjeP,,
P39298,P39298,Esterase yjfP,yjfP,,
P0A8X0,P0A8X0,UPF0307 protein YjgA,yjgA,,
P27250,P27250,Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB,yjgB,,
P39332,P39332,RutC family protein yjgH,yjgH,,
P39334,P39334,Uncharacterized HTH-type transcriptional regulator YjgJ,yjgJ,,
P39337,P39337,Uncharacterized N-acetyltransferase YjgM,yjgM,,
P39342,P39342,Uncharacterized protein yjgR,yjgR,,
P39353,P39353,Uncharacterized oxidoreductase YjhC,yjhC,,
P39358,P39358,Uncharacterized protein YjhG,yjhG,,
P39356,P39356,Uncharacterized transcriptional regulator YjhU,yjhU,,
P39385,P39385,Uncharacterized protein yjiN,yjiN,,
P18390,P18390,Uncharacterized protein yjjA,yjjA,,
P39410,P39410,Putative kinase YjjJ,yjjJ,,
P0A9W3,P0A9W3,Uncharacterized ABC transporter ATP-binding protein YjjK,yjjK,,
P39407,P39407,Uncharacterized protein yjjU,yjjU,,
P39408,P39408,Uncharacterized deoxyribonuclease YjjV,yjjV,,
P39411,P39411,Non-canonical purine NTP phosphatase,yjjX,,
P77212,P77212,Probable pyridine nucleotide-disulfide oxidoreductase ykgC,ykgC,,
P77252,P77252,Uncharacterized protein ykgE,ykgE,,
P77536,P77536,Uncharacterized electron transport protein ykgF,ykgF,,
P77433,P77433,Uncharacterized protein ykgG,ykgG,,
P75687,P75687,Uncharacterized protein YkgI,ykgI,,
P75713,P75713,Uncharacterized protein ylbA,ylbA,,
P0AB10,P0AB10,Uncharacterized lipoprotein ymbA,ymbA,,
P0A8D6,P0A8D6,O-acetyl-ADP-ribose deacetylase,ymdB,,
P75919,P75919,Uncharacterized protein YmdC,ymdC,,
P56614;P21361,P56614;P21361,Uncharacterized protein ymdF;Uncharacterized protein yciG,ymdF;yciG,,
P75992,P75992,Probable two-component-system connector protein YmgA,ymgA,,
P0ACV8,P0ACV8,Uncharacterized protein ymjA,ymjA,,
P0AEB5,P0AEB5,MscS family inner membrane protein YnaI,ynaI,,
P64448,P64448,Uncharacterized protein ynbE,ynbE,,
P76112,P76112,N-acyltransferase YncA,yncA,,
P76115,P76115,Probable TonB-dependent receptor YncD,yncD,,
P76116,P76116,Uncharacterized protein YncE,yncE,,
P76170,P76170,UPF0482 protein ynfB,ynfB,,
P76172,P76172,Uncharacterized protein ynfD,ynfD,,
P77559,P77559,Uncharacterized HTH-type transcriptional regulator YnfL,ynfL,,
P76193,P76193,"Probable L,D-transpeptidase YnhG",ynhG,,
P77739,P77739,Uncharacterized protein yniA,yniA,,
P76208,P76208,Uncharacterized protein yniB,yniB,,
P77247,P77247,2-deoxyglucose-6-phosphate phosphatase,yniC,,
P76223,P76223,Protein ynjB,ynjB,,
P78067,P78067,Thiosulfate sulfurtransferase YnjE,ynjE,,
P76227,P76227,Uncharacterized protein ynjH,ynjH,,
P0AEB7,P0AEB7,RutC family protein yoaB,yoaB,,
P64490,P64490,Uncharacterized protein yoaC,yoaC,,
P0AEC0,P0AEC0,UPF0053 inner membrane protein yoaE,yoaE,,
P64493,P64493,Uncharacterized protein yoaF,yoaF,,
P67338,P67338,UPF0181 protein yoaH,yoaH,,
P0AA57,P0AA57,Protein YobA,yobA,,
Q2MB16,Q2MB16,Uncharacterized protein yobH,yobH,,
P64519,P64519,Uncharacterized protein yodD,yodD,,
P33368,P33368,Uncharacterized oxidoreductase yohF,yohF,,
P0AE39,P0AE39,Uncharacterized response regulatory protein ypdB,ypdB,,
P76539,P76539,Acetyltransferase YpeA,ypeA,,
P76561,P76561,Esterase YpfH,ypfH,,
P64429,P64429,Uncharacterized protein ypfJ,ypfJ,,
Q2EET2,Q2EET2,UPF0370 protein YpfN,ypfN,,
P77360,P77360,Uncharacterized zinc-type alcohol dehydrogenase-like protein YphC,yphC,,
P77475,P77475,Fructose-1-phosphate phosphatase YqaB,yqaB,,
P65367,P65367,Uncharacterized protein yqcA,yqcA,,
Q46919,Q46919,Uncharacterized protein yqcC,yqcC,,
Q46939,Q46939,Probable acetyl-CoA acetyltransferase,yqeF,,
P63340,P63340,Inner membrane transport protein YqeG,yqeG,,
P67603,P67603,UPF0267 protein yqfB,yqfB,,
P0A8W5,P0A8W5,UPF0301 protein yqgE,yqgE,,
Q46855,Q46855,Uncharacterized HTH-type transcriptional regulator YqhC,yqhC,,
Q46856,Q46856,Alcohol dehydrogenase YqhD,yqhD,,
P0A8Z7,P0A8Z7,Esterase yqiA,yqiA,,
Q46868,Q46868,Uncharacterized protein yqiC,yqiC,,
P42616,P42616,Protein yqjC,yqjC,,
P64581,P64581,Uncharacterized protein yqjD,yqjD,,
P64585,P64585,Inner membrane protein yqjE,yqjE,,
P42620,P42620,Uncharacterized protein yqjG,yqjG,,
Q46871,Q46871,NADPH-dependent ferric-chelate reductase,yqjH,,
P64588,P64588,Transcriptional regulator YqjI,yqjI,,
Q47710,Q47710,Uncharacterized protein yqjK,yqjK,,
P64596,P64596,Uncharacterized protein yraP,yraP,,
P45469,P45469,Uncharacterized protein yraR,yraR,,
P0A9W6,P0A9W6,Uncharacterized protein YrbA,yrbA,,
P0A9W9,P0A9W9,Protein YrdA,yrdA,,
P45771,P45771,Uncharacterized protein yrdD,yrdD,,
P45800,P45800,Putative membrane protein igaA homolog,yrfF,,
P64636,P64636,GMP/IMP nucleotidase YrfG,yrfG,,
P56262,P56262,Putative carboxymethylenebutenolidase,ysgA,,
P39310,P39310,Uncharacterized protein ytfB,ytfB,,
P69506,P69506,Iron-sulfur cluster repair protein YtfE,ytfE,,
P39187,P39187,Uncharacterized protein ytfJ,ytfJ,,
P0AE45,P0AE45,UPF0053 inner membrane protein ytfL,ytfL,,
P0AE48,P0AE48,Gamma-glutamylcyclotransferase family protein ytfP,ytfP,,
P39325,P39325,ABC transporter periplasmic-binding protein ytfQ,ytfQ,,
P34211,P34211,Putative hydrolase yuaR,yuaR,,
P0ADS2,P0ADS2,Cell division protein ZapA,zapA,,
P0AF36,P0AF36,Cell division protein ZapB,zapB,,
P36680,P36680,Cell division protein ZapD,zapD,,
P76344,P76344,Metal-binding protein ZinT,zinT,,
P77173,P77173,Cell division protein ZipA,zipA,,
P37617,P37617,"Lead, cadmium, zinc and mercury-transporting ATPase",zntA,,
P64423,P64423,Zinc transport protein ZntB,zntB,,
P39172,P39172,High-affinity zinc uptake system protein znuA,znuA,,
P14375,P14375,Transcriptional regulatory protein ZraR,zraR,,
P0AC51,P0AC51,Zinc uptake regulation protein,zur,,
P0AC53,P0AC53,Glucose-6-phosphate 1-dehydrogenase;Extracellular death factor,zwf,,
P11291,P11291,Putative uncharacterized protein b3808,,,
P63284-2,P63284-2,,,,
